Lion	Bear	Deer	Bat	Whale	Squirrel	Dog	Giraffe	Mouse	Elephant	Eagle	Crow	Penguin	Ostrich	Canary	Pigeon	Bluebird	Cardinal	Oriole	Parrot	Shark	Goldfish	Swordfish	Salmon	Tuna	Tang	Eel	Mackerel	Koi	Guppy	Is_a_Mammal	Is_a_Bird	Is_a_Fish	Has_Fur	Has_Feathers	Has_Scales	Walks	Flies	Swims	Has_Arms	Has_Wings	Has_Fins	Eats_Plants	Eats_Animals
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	-1	1
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	1	1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	1
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	-1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	-1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1
